,close,returns,vol,vol_lag_1,vol_lag_2,vol_lag_3,vol_lag_5,vol_lag_10,vol_lag_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,vol_roll_mean_5,vol_roll_std_5,vol_roll_mean_10,vol_roll_std_10,vol_roll_mean_20,vol_roll_std_20,vol_roll_mean_60,vol_roll_std_60,rsi_14,volume_zscore,day_of_week,month,quarter,week_of_month,target
2019-05-17,1746.087890625,-0.006306957007001,0.2184417548064528,0.278476427755053,0.2785883898986677,0.2819218647504579,0.2907032785432655,0.3194175546179471,0.2918549686155424,0.006371119344775,0.0014574180274125,-0.0170990630959564,-0.0169154891076039,0.2838367185772561,0.0058969197752362324,0.29340851438070964,0.015329874770773213,0.28585096827990136,0.013757735227222677,0.24974897275010108,0.04143985730162125,39.45505951174648,-0.6594652118720405,4,5,2,3,0.2319383725112403
2019-05-20,1786.501953125,0.0231454915396807,0.2319383725112403,0.2184417548064528,0.278476427755053,0.2785883898986677,0.2894936319388366,0.3120569657322721,0.2797018492585788,-0.006306957007001,0.006371119344775,0.0014574180274125,-0.003301166241969,0.2693844138298936,0.028827507391409133,0.28331093439956023,0.025903623076991053,0.28218030758944684,0.020306479826652363,0.25093192436447903,0.03943510932181768,36.01636355405199,-0.10692942333791132,0,5,2,3,0.2367514024755618
2019-05-21,1758.003662109375,-0.0159520066383218,0.2367514024755618,0.2319383725112403,0.2184417548064528,0.278476427755053,0.2819218647504579,0.3124446674539951,0.2775225936644271,0.0231454915396807,-0.006306957007001,0.006371119344775,-0.0170990630959564,0.2578733619443743,0.030246506035973276,0.27529907507745704,0.028303682713365357,0.27979213375207995,0.023213824301378055,0.2522994581566443,0.03723286318698889,36.89384861680743,-1.0230848996331359,1,5,2,3,0.2395249225083216
2019-05-22,1734.6719970703125,-0.0132716817046145,0.2395249225083216,0.2367514024755618,0.2319383725112403,0.2184417548064528,0.2785883898986677,0.2872052651014765,0.2773501023775078,-0.0159520066383218,0.0231454915396807,-0.006306957007001,0.0014574180274125,0.24883926948939514,0.02792461755198748,0.26772974857961374,0.02737206014647291,0.27775357419263663,0.025134365623133557,0.25374190124501816,0.03480806154411582,29.828649555691243,0.14474642467098295,2,5,2,4,0.2429981134580211
2019-05-23,1711.590087890625,-0.0133062095996652,0.2429981134580211,0.2395249225083216,0.2367514024755618,0.2319383725112403,0.278476427755053,0.2837770980151254,0.277063482079942,-0.0132716817046145,-0.0159520066383218,0.0231454915396807,0.006371119344775,0.24102657601132588,0.022448235227664256,0.26296171432029825,0.027752761730236688,0.27586231519917737,0.026549576444989093,0.25456754657524683,0.033844334511523626,31.247487175861096,0.022181647302226166,3,5,2,4,0.2360293358867539
2019-05-24,1706.5491943359375,-0.0029451523412944,0.2360293358867539,0.2429981134580211,0.2395249225083216,0.2367514024755618,0.2184417548064528,0.2907032785432655,0.2773222557809714,-0.0133062095996652,-0.0132716817046145,-0.0159520066383218,-0.006306957007001,0.23393091315191952,0.009557019233931955,0.2588838158645878,0.027347383900419266,0.27415904676808134,0.027542608776411452,0.2548373938979559,0.033683408814619654,37.03650285898051,-0.4057180075688844,4,5,2,4,0.2352674674956063
2019-05-27,1712.5069580078125,0.0034911174501437,0.2352674674956063,0.2360293358867539,0.2429981134580211,0.2395249225083216,0.2319383725112403,0.2894936319388366,0.2715458798766639,-0.0029451523412944,-0.0133062095996652,-0.0132716817046145,0.0231454915396807,0.23744842936797977,0.00412223290896066,0.2534164215989366,0.02569444320624145,0.27209440077337044,0.028811478309286803,0.2549858286482525,0.033578669854539764,30.443405049498196,-0.27052719763111266,0,5,2,4,0.2241164940349032
2019-05-28,1728.0059814453125,0.0090504878622683,0.2241164940349032,0.2352674674956063,0.2360293358867539,0.2429981134580211,0.2367514024755618,0.2819218647504579,0.2753546145899941,0.0034911174501437,-0.0029451523412944,-0.0133062095996652,-0.0159520066383218,0.23811424836485298,0.003168221506781511,0.24799380515461364,0.022792814275122125,0.27028048015431755,0.029966683556550147,0.25522621984090466,0.03338115240897129,32.8430624146401,6.565018596106179,1,5,2,4,0.2304623232402623
2019-05-29,1756.170654296875,0.0162989440742591,0.2304623232402623,0.2241164940349032,0.2352674674956063,0.2360293358867539,0.2395249225083216,0.2785883898986677,0.2707567419022219,0.0090504878622683,0.0034911174501437,-0.0029451523412944,-0.0132716817046145,0.2355872666767212,0.0071116472277356155,0.24221326808305815,0.020440912442218327,0.26771857412656297,0.03165283712938751,0.2553521513742648,0.03324679476003102,36.8078514920669,0.7573448215170261,2,5,2,5,0.2341462868962462
2019-05-30,1788.460205078125,0.0183863400189761,0.2341462868962462,0.2304623232402623,0.2241164940349032,0.2352674674956063,0.2429981134580211,0.278476427755053,0.2844617336450804,0.0162989440742591,0.0090504878622683,0.0034911174501437,-0.0133062095996652,0.23377474682310936,0.007011345731154641,0.23740066141721763,0.016137607910409503,0.265703853193465,0.03271387571879923,0.2551959846615487,0.03334279777123251,39.64633100267042,2.601172022580547,3,5,2,5,0.2078976909206717
